Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
26/02/16,1.4,16.669M,2.6437,17.8633,1948.05,21.04,2.6363
19/02/16,1.36,16.429M,2.6039,17.5744,1917.78,22.28,2.6048
12/02/16,1.37,15.991M,2.5325,17.094,1864.78,22.59,2.604
05/02/16,1.37,16.144M,2.5539,17.2291,1880.05,21.58,2.6683
29/01/16,1.41,16.688M,2.6266,17.7857,1940.24,22.13,2.7438
22/01/16,1.42,16.403M,2.5809,17.4848,1906.9,21.09,2.8238
15/01/16,1.47,16.196M,2.5445,17.2241,1880.33,20.9,2.814
08/01/16,1.48,16.538M,2.6007,17.6041,1922.03,18.63,2.9094
01/01/16,1.5,17.57M,2.7632,18.7275,2043.94,16.33,3.0158
25/12/15,1.53,17.721M,2.778,18.6713,2060.99,17.32,2.9603
18/12/15,1.5,17.248M,2.7026,18.1352,2005.55,17.17,2.922
11/12/15,1.45,17.32M,2.7116,18.195,2012.37,15.17,2.8709
04/12/15,1.44,17.985M,2.8184,18.9138,2091.69,14.1,3.0095
27/11/15,1.43,17.979M,2.8147,18.8783,2090.11,12.44,2.9968
20/11/15,1.41,17.978M,2.8136,18.8712,2089.17,13.48,3.0199
13/11/15,1.39,17.401M,2.7189,18.2934,2023.04,12.38,3.0519
06/11/15,1.38,18.059M,2.8217,18.978,2099.2,12.59,3.0853
30/10/15,1.39,17.909M,2.8077,18.8321,2079.36,15.82,2.9222
23/10/15,1.41,17.92M,2.8021,18.8008,2075.15,16.79,2.9008
16/10/15,1.4,17.575M,2.7455,18.4193,2033.11,18.02,2.8812
09/10/15,1.37,17.416M,2.7208,18.2535,2014.89,21.18,2.9174
02/10/15,1.35,16.855M,2.6319,17.6819,1951.36,27.59,2.8274
25/09/15,1.3,16.677M,2.6119,17.2008,1931.34,27.84,2.9556
18/09/15,1.27,16.877M,2.6477,17.3911,1958.03,28.14,2.9356
11/09/15,1.24,16.936M,2.6517,17.4176,1961.05,27.33,2.9524
04/09/15,1.22,16.591M,2.597,17.0653,1921.22,26.18,2.8836
28/08/15,1.2,17.174M,2.6875,17.7045,1988.87,23.74,2.9119
21/08/15,1.17,17.023M,2.6632,17.5462,1970.89,14.71,2.7233
14/08/15,1.12,18.067M,2.8268,18.6247,2091.54,11.63,2.8416
07/08/15,1.1,17.946M,2.8082,18.5023,2077.57,12.56,2.8191
31/07/15,1.1,18.203M,2.8439,18.7515,2103.84,12.61,2.9061
24/07/15,1.05,18.021M,2.8221,18.5136,2079.65,12.38,2.9618
17/07/15,1.05,18.444M,2.889,18.9498,2126.64,12.59,3.0828
10/07/15,1.02,18.016M,2.8209,18.5033,2076.62,12.15,3.1899
03/07/15,1,18.025M,2.8232,18.5013,2076.78,11.08,3.1865
26/06/15,0.96,18.237M,2.8592,18.6939,2101.49,8.92,3.2402
19/06/15,0.93,18.311M,2.872,18.7448,2109.99,9.2,3.0471
12/06/15,0.93,18.173M,2.8483,18.5935,2094.11,10.06,3.103
05/06/15,0.91,18.168M,2.8518,18.5854,2092.83,10.15,3.1136
29/05/15,0.91,18.295M,2.8725,18.7301,2107.39,10.31,2.8818
22/05/15,0.89,18.449M,2.8967,18.8985,2126.06,9.96,2.9841
15/05/15,0.92,18.416M,2.8919,18.8667,2122.73,10.21,2.9292
08/05/15,0.91,18.355M,2.883,18.8098,2116.1,10.81,2.9006
01/05/15,0.93,18.309M,2.8724,18.7514,2108.29,10.5,2.8273
24/04/15,0.94,18.491M,2.8861,18.8121,2117.69,11.14,2.6098
17/04/15,0.97,18.183M,2.8471,18.4728,2081.18,12.75,2.5194
10/04/15,0.97,18.364M,2.8757,18.6581,2102.06,13.12,2.5791
03/04/15,0.97,18.052M,2.8269,18.348,2066.96,12.77,2.4858
27/03/15,0.93,18.002M,2.8457,18.2958,2061.02,11.99,2.5404
20/03/15,0.89,18.42M,2.9073,18.7178,2108.1,11.83,2.5059
13/03/15,0.89,17.907M,2.831,18.2311,2053.4,12.05,2.6987
06/03/15,0.86,18.057M,2.8547,18.3846,2071.26,12.63,2.8409
27/02/15,0.83,18.333M,2.9042,18.7122,2104.5,12.92,2.5903
20/02/15,0.87,18.41M,2.9121,18.766,2110.3,14.06,2.7142
13/02/15,0.91,18.303M,2.8928,18.65,2096.99,16.58,2.6478
06/02/15,0.99,17.958M,2.8357,18.2815,2055.47,16.33,2.5287
30/01/15,1,17.442M,2.7509,17.7588,1994.99,16.61,2.2222
23/01/15,1.01,17.921M,2.8235,18.2859,2051.82,17.08,2.3735
16/01/15,0.99,17.639M,2.7794,17.9966,2019.42,17.15,2.4531
09/01/15,0.99,17.865M,2.8147,18.2256,2044.81,16.47,2.5281
02/01/15,0.96,17.982M,2.8326,18.3546,2058.2,13.75,2.688
26/12/14,0.96,18.25M,2.832,18.6044,2088.77,13.33,2.8165
19/12/14,0.98,18.09M,2.8077,18.4326,2070.65,13.3,2.7542
12/12/14,0.97,17.495M,2.7152,17.826,2002.33,8.97,2.7372
05/12/14,0.89,18.133M,2.8143,18.4757,2075.37,6.62,2.9667
28/11/14,0.86,18.061M,2.8055,18.4267,2067.56,9.1,2.8888
21/11/14,0.88,17.987M,2.7989,18.3788,2063.5,9.98,3.0175
14/11/14,0.86,17.784M,2.7667,18.168,2039.82,15.71,3.0487
07/11/14,0.86,17.728M,2.7566,18.0997,2031.92,16.64,3.028
31/10/14,0.8,17.627M,2.7369,17.993,2018.05,17.73,3.0662
24/10/14,0.75,17.169M,2.6633,17.5238,1964.58,17.27,3.0423
17/10/14,0.8,16.512M,2.5567,16.8219,1886.76,15.17,2.9678
10/10/14,0.76,16.678M,2.5832,16.9962,1906.13,13.78,3.0124
03/10/14,0.76,17.224M,2.6669,17.5497,1967.9,9.92,3.1233
26/09/14,0.72,17.359M,2.7131,18.133,1982.85,8.92,3.214
19/09/14,0.68,17.588M,2.7477,18.3731,2010.4,5.98,3.284
12/09/14,0.66,17.37M,2.7136,18.1436,1985.54,7.67,3.3441
05/09/14,0.66,17.565M,2.7438,18.349,2007.71,9.61,3.2263
29/08/14,0.63,17.528M,2.7358,18.3142,2003.37,9.72,3.0792
22/08/14,0.62,17.401M,2.7157,18.1894,1988.4,10.81,3.1566
15/08/14,0.63,17.11M,2.6684,17.8812,1955.06,10.79,3.1323
08/08/14,0.59,16.908M,2.6369,17.6696,1931.59,10.85,3.2303
01/08/14,0.59,16.867M,2.6273,17.6118,1925.15,9.75,3.2807
25/07/14,0.56,17.349M,2.7021,18.1019,1978.34,7.79,3.2385
18/07/14,0.57,17.366M,2.702,18.1009,1978.22,7.93,3.2881
11/07/14,0.57,17.278M,2.6873,18.003,1967.57,6.43,3.3366
04/07/14,0.57,17.439M,2.7118,18.1681,1985.44,5.81,3.4694
27/06/14,0.56,17.201M,2.7233,18.2159,1960.96,6.33,3.3665
20/06/14,0.54,17.216M,2.7293,18.2197,1962.87,7.32,3.4337
13/06/14,0.54,16.979M,2.6925,17.9749,1936.16,7.87,3.4134
06/06/14,0.55,17.058M,2.7115,18.1002,1949.44,7.43,3.432
30/05/14,0.54,16.836M,2.678,17.8711,1923.57,7.88,3.3277
23/05/14,0.6,16.674M,2.6465,17.6721,1900.53,8.53,3.3933
16/05/14,0.62,16.475M,2.6149,17.4617,1877.86,11.78,3.346
09/05/14,0.62,16.476M,2.6157,17.4691,1878.48,12.01,3.4634
02/05/14,0.62,16.509M,2.6187,17.4947,1881.14,12.01,3.3668
25/04/14,0.64,16.382M,2.5946,17.346,1863.4,12.68,3.4428
18/04/14,0.64,16.417M,2.5967,17.3628,1864.85,12.94,3.5219
11/04/14,0.68,15.992M,2.5284,16.9068,1815.69,12.95,3.4827
04/04/14,0.71,16.425M,2.5971,17.3653,1865.09,10.17,3.5837
28/03/14,0.67,16.352M,2.5931,17.4599,1857.62,9.42,3.5473
21/03/14,0.69,16.43M,2.6022,17.5183,1866.52,9.51,3.6068
14/03/14,0.69,16.216M,2.5667,17.2795,1841.13,12.5,3.5992
07/03/14,0.69,16.544M,2.6179,17.6253,1878.04,12.94,3.7206
28/02/14,0.69,16.384M,2.5923,17.452,1859.45,14.1,3.5822
21/02/14,0.65,16.15M,2.5595,17.2657,1836.25,14.86,3.6934
14/02/14,0.63,16.179M,2.5634,17.2895,1838.63,14.73,3.6969
07/02/14,0.64,15.818M,2.5055,16.8987,1797.02,14.4,3.6725
31/01/14,0.65,15.688M,2.4863,16.7605,1782.59,11.42,3.5985
24/01/14,0.68,15.80M,2.4976,16.8246,1790.29,11.46,3.6325
17/01/14,0.71,16.237M,2.5643,17.278,1838.7,10.2,3.748
10/01/14,0.75,16.276M,2.5694,17.3127,1842.37,8.92,3.7999
03/01/14,0.8,16.174M,2.5542,17.2102,1831.37,9.1,3.9248
27/12/13,0.79,16.269M,2.6577,17.7269,1841.4,8.86,3.9367
20/12/13,0.76,15.949M,2.6143,17.4191,1818.32,9.06,3.823
13/12/13,0.74,15.568M,2.5518,17.0049,1775.32,9.41,3.8731
06/12/13,0.75,15.817M,2.5948,17.2815,1805.09,8.91,3.8893
29/11/13,0.74,15.826M,2.5969,17.353,1805.81,8.39,3.8106
22/11/13,0.75,15.814M,2.5958,17.3552,1804.76,9.72,3.8292
15/11/13,0.76,15.768M,2.5862,17.2918,1798.18,11.81,3.7947
08/11/13,0.76,15.512M,2.5435,17.0197,1770.61,12.7,3.8454
01/11/13,0.75,15.452M,2.5299,16.939,1761.64,11.7,3.6961
25/10/13,0.75,15.452M,2.5329,16.9463,1759.77,12.31,3.5999
18/10/13,0.77,15.327M,2.511,16.7978,1744.5,12.36,3.6412
11/10/13,0.8,14.966M,2.4516,16.3996,1703.2,11.74,3.7472
04/10/13,0.83,14.857M,2.4333,16.2775,1690.5,10.1,3.7198
27/09/13,0.83,14.863M,2.4812,16.4517,1691.75,9.79,3.6864
20/09/13,0.82,15.003M,2.506,16.5976,1709.91,10.7,3.7613
13/09/13,0.84,14.81M,2.4738,16.3845,1687.99,9.91,3.8349
06/09/13,0.82,14.507M,2.4228,16.0817,1655.17,9.82,3.8657
30/08/13,0.86,14.316M,2.391,15.8894,1632.97,9.37,3.6995
23/08/13,0.88,14.591M,2.4369,16.1839,1663.5,8.35,3.7916
16/08/13,0.88,14.521M,2.4258,16.1111,1655.83,8.75,3.8483
09/08/13,0.9,14.847M,2.4778,16.457,1691.42,7.72,3.6345
02/08/13,0.9,15.02M,2.5046,16.6411,1709.67,8.98,3.6843
26/07/13,0.91,14.874M,2.4797,16.4921,1691.65,12.85,3.6209
19/07/13,0.98,14.903M,2.4801,16.4982,1692.09,14.28,3.5604
12/07/13,1.04,14.801M,2.4627,16.3826,1680.19,15.65,3.625
05/07/13,1.03,14.39M,2.3936,16.0032,1631.89,15.85,3.713
28/06/13,1.01,14.17M,2.3655,15.9703,1606.28,15.56,3.4994
21/06/13,0.9,14.04M,2.3433,15.8148,1592.43,15.25,3.5818
14/06/13,0.87,14.342M,2.3939,16.1629,1626.73,12.36,3.3046
07/06/13,0.89,14.487M,2.4187,16.3305,1643.38,11.86,3.3343
31/05/13,0.84,14.369M,2.4045,16.2278,1630.74,10.31,3.2791
24/05/13,0.83,14.541M,2.4339,16.4286,1649.6,11.06,3.1721
17/05/13,0.83,14.687M,2.4595,16.5996,1667.47,13.41,3.1669
10/05/13,0.84,14.386M,2.4098,16.2658,1633.7,13.52,3.0943
03/05/13,0.83,14.216M,2.3801,16.0669,1614.42,13.7,2.9537
26/04/13,0.83,13.932M,2.3307,15.7578,1582.24,13.34,2.8611
19/04/13,0.86,13.694M,2.2915,15.4908,1555.25,13.03,2.8847
12/04/13,0.87,13.993M,2.3413,15.8257,1588.85,8.72,2.9177
05/04/13,0.88,13.679M,2.289,15.4719,1553.28,10.54,2.875
29/03/13,0.91,13.821M,2.3429,15.7373,1569.19,11.05,3.1023
22/03/13,0.92,13.718M,2.3246,15.6136,1556.89,10.74,3.1476
15/03/13,0.91,13.753M,2.3335,15.6438,1560.7,11.02,3.2115
08/03/13,0.93,13.664M,2.3192,15.5486,1551.18,11.42,3.2438
01/03/13,0.94,13.378M,2.2703,15.2177,1518.2,11.18,3.0506
22/02/13,0.94,13.384M,2.2687,15.2008,1515.6,8.76,3.1525
15/02/13,0.95,13.425M,2.2741,15.2436,1519.79,7.28,3.1753
08/02/13,0.96,13.407M,2.271,15.224,1517.93,11.85,3.1635
01/02/13,0.94,13.371M,2.2646,15.1994,1513.17,11.6,3.2178
25/01/13,0.95,13.266M,2.2518,15.1079,1502.96,12.53,3.1333
18/01/13,0.93,13.118M,2.2265,14.9412,1485.98,12.54,3.0289
11/01/13,0.93,12.994M,2.2056,14.8006,1472.05,12.64,3.0479
04/01/13,0.95,12.946M,2.1972,14.7442,1466.47,13.18,3.0972
28/12/12,0.96,12.385M,2.0996,14.4438,1402.43,11.4,2.8672
21/12/12,0.97,12.619M,2.1412,14.7327,1430.15,11.63,2.9312
14/12/12,0.98,12.473M,2.1171,14.5618,1413.58,13.11,2.864
07/12/12,1,12.501M,2.1299,14.6171,1418.07,13.51,2.8104
30/11/12,1,12.48M,2.1275,14.6044,1416.18,14.9,2.8089
23/11/12,0.99,12.424M,2.1177,14.5385,1409.15,15.24,2.8284
16/11/12,1.01,11.995M,2.0437,14.031,1359.88,13.35,2.7324
09/11/12,1.04,12.175M,2.0739,14.2385,1379.85,13.2,2.7408
02/11/12,1.05,12.486M,2.1259,14.5935,1414.2,11.26,2.9066
26/10/12,1.04,12.458M,2.1204,14.5698,1411.94,10.37,2.9042
19/10/12,1.05,12.653M,2.1524,14.7892,1433.19,10.85,2.9339
12/10/12,1.16,12.617M,2.1454,14.7396,1428.59,10.79,2.8317
05/10/12,1.25,12.901M,2.194,15.0735,1460.93,10.34,2.9712
28/09/12,1.32,12.722M,2.2277,15.045,1440.67,10.7,2.823
21/09/12,1.33,12.895M,2.2578,15.238,1460.15,9.57,2.9434
14/09/12,1.39,12.936M,2.2667,15.2975,1465.77,9.46,3.0884
07/09/12,1.39,12.679M,2.2184,14.9099,1437.92,10.21,2.8245
31/08/12,1.42,12.395M,2.1696,14.6046,1406.58,11.37,2.6723
24/08/12,1.42,12.438M,2.1793,14.6499,1411.13,12.15,2.8011
17/08/12,1.43,12.496M,2.1904,14.7213,1418.16,12.99,2.9309
10/08/12,1.44,12.385M,2.1712,14.5929,1405.87,13.5,2.7508
03/08/12,1.49,12.271M,2.1497,14.4348,1390.99,16.34,2.6435
27/07/12,1.51,12.254M,2.1546,14.4613,1385.97,17.01,2.6277
20/07/12,1.48,12.06M,2.1189,14.2196,1362.66,16.42,2.5448
13/07/12,1.46,12.014M,2.0976,14.077,1356.78,17.26,2.5727
06/07/12,1.43,11.988M,2.0944,14.0557,1354.68,19.05,2.6616
29/06/12,1.4,12.046M,2.132,14.3104,1362.16,19.14,2.7533
22/06/12,1.38,11.813M,2.1033,14.1189,1335.02,18.07,2.7616
15/06/12,1.38,11.867M,2.1128,14.1683,1342.84,16.51,2.684
08/06/12,1.36,11.715M,2.0857,13.9874,1325.66,15.68,2.7454
01/06/12,1.36,11.29M,2.0123,13.4921,1278.05,14.49,2.5194
25/05/12,1.33,11.644M,2.0736,13.9205,1317.82,12.72,2.8412
18/05/12,1.26,11.445M,2.0372,13.68,1295.22,13.9,2.8064
11/05/12,1.21,11.96M,2.1287,14.2934,1353.39,13.69,3.0103
04/05/12,1.2,12.099M,2.1549,14.4601,1369.1,14.34,3.0709
27/04/12,1.2,12.407M,2.2215,14.8911,1403.36,13.43,3.1224
20/04/12,1.22,12.191M,2.1824,14.6282,1378.53,13.57,3.124
13/04/12,1.25,12.097M,2.1693,14.5404,1370.26,13.98,3.1273
06/04/12,1.26,12.338M,2.2138,14.8358,1398.08,11.17,3.2157
30/03/12,1.25,12.448M,2.2828,15.1992,1408.47,10.46,3.3358
23/03/12,1.25,12.349M,2.2681,15.0804,1397.11,10.22,3.3051
16/03/12,1.23,12.416M,2.2717,15.0845,1404.17,10.04,3.4061
09/03/12,1.23,12.102M,2.2245,14.7887,1370.87,9.77,3.1778
02/03/12,1.26,12.092M,2.2273,14.7501,1369.63,8.23,3.1024
24/02/12,1.3,12.068M,2.2159,14.6702,1365.74,8.56,3.0992
17/02/12,1.31,12.038M,2.2086,14.6199,1361.23,8.64,3.1476
10/02/12,1.28,11.872M,2.1786,14.4215,1342.64,9.04,3.1404
03/02/12,1.33,11.891M,2.1822,14.4444,1344.9,10.37,3.1192
27/01/12,1.39,11.649M,2.1378,14.1421,1316.33,13.16,3.0574
20/01/12,1.38,11.64M,2.145,14.1835,1315.38,16.96,3.0998
13/01/12,1.36,11.408M,2.1024,13.9012,1289.09,16.88,2.91
06/01/12,1.41,11.31M,2.084,13.7797,1277.81,22.24,3.0156
30/12/11,1.39,11.134M,2.0432,14.3045,1257.61,24.04,2.8941
23/12/11,1.36,11.205M,2.0562,14.39,1265.33,24.86,3.0568
16/12/11,1.28,10.78M,1.9784,13.8551,1219.66,26.38,2.8511
09/12/11,1.28,11.09M,2.0301,14.2172,1255.19,29.1,3.1072
02/12/11,1.28,10.988M,2.0185,14.1367,1244.28,30.64,3.0237
25/11/11,1.31,10.235M,1.8793,13.1714,1158.67,28.41,2.9191
18/11/11,1.27,10.737M,1.9712,13.8187,1215.65,27.78,2.9941
11/11/11,1.24,11.168M,2.0494,14.3659,1263.86,29.38,3.13
04/11/11,1.27,11.104M,2.0321,14.2442,1253.23,30.23,3.0916
28/10/11,1.39,11.417M,2.0834,14.6146,1285.09,30.97,3.3754
21/10/11,1.43,11.015M,2.0078,14.0866,1238.25,29.22,3.2638
14/10/11,1.42,10.89M,1.9856,13.9362,1224.58,30.01,3.2315
07/10/11,1.35,10.277M,1.8736,13.1498,1155.46,30.21,3.0167
30/09/11,1.25,10.066M,1.8352,12.9296,1131.42,29.82,2.9134
23/09/11,1.2,10.099M,1.856,13.3505,1136.43,31.4,2.9002
16/09/11,1.19,10.803M,1.9843,14.2543,1216.01,42.66,3.313
09/09/11,1.13,10.258M,1.8835,13.53,1154.23,44.83,3.2463
02/09/11,1.06,10.434M,1.9156,13.7637,1173.97,43.4,3.2969
26/08/11,1.03,10.462M,1.9217,13.8124,1176.8,42.41,3.535
19/08/11,0.98,9.994M,1.8347,13.1874,1123.53,40.02,3.3904
12/08/11,0.99,10.494M,1.9248,13.8347,1178.81,37.56,3.7257
05/08/11,0.95,10.695M,1.9583,14.0757,1199.38,22.1,3.8458
29/07/11,0.88,11.538M,2.1117,15.1964,1292.28,15.66,4.1184
22/07/11,0.84,12.022M,2.1985,15.827,1345.02,15.23,4.2575
15/07/11,0.82,11.751M,2.1513,15.4872,1316.14,15.17,4.2465
08/07/11,0.77,11.991M,2.1961,15.8131,1343.8,16.11,4.2824
01/07/11,0.77,11.909M,2.1861,15.7971,1339.67,16.16,4.3908
24/06/11,0.77,11.279M,2.1191,15.3722,1268.45,14.52,4.1832
17/06/11,0.75,11.306M,2.1257,15.3975,1271.5,14.22,4.205
10/06/11,0.76,11.297M,2.1257,15.3993,1270.98,12.86,4.1816
03/06/11,0.76,11.556M,2.1745,15.7546,1300.16,12.48,4.2224
27/05/11,0.79,11.827M,2.2283,16.1486,1331.1,11.1,4.2424
20/05/11,0.83,11.847M,2.2361,15.6493,1333.27,10.67,4.2976
13/05/11,0.85,11.886M,2.2437,15.7024,1337.77,9.96,4.3078
06/05/11,0.82,11.914M,2.2479,15.7321,1340.2,9.07,4.2855
29/04/11,0.8,12.131M,2.2898,16.0385,1363.61,9.33,4.3968
22/04/11,0.81,11.897M,2.2453,15.7367,1337.39,12.43,4.4646
15/04/11,0.91,11.736M,2.2157,15.5283,1319.68,12.98,4.4684
08/04/11,0.91,11.811M,2.23,15.6298,1328.17,14.94,4.6417
01/04/11,0.9,11.842M,2.2462,15.7514,1332.41,16.65,4.4853
25/03/11,0.9,11.71M,2.2593,16.204,1313.8,16.48,4.5002
18/03/11,0.91,11.398M,2.2032,15.7679,1279.21,15.73,4.4166
11/03/11,0.91,11.619M,2.2464,16.077,1304.28,14.53,4.548
04/03/11,0.91,11.778M,2.2755,16.2856,1321.15,13.89,4.5963
25/02/11,0.9,11.733M,2.276,16.3145,1319.88,12.25,4.496
18/02/11,0.89,11.952M,2.3159,16.5986,1343.01,9.92,4.6836
11/02/11,0.94,11.827M,2.2921,16.4284,1329.15,10.34,4.6876
04/02/11,0.98,11.664M,2.2605,16.2024,1310.87,10.13,4.7275
28/01/11,1.02,11.349M,2.2038,15.8178,1276.34,8.86,4.5282
21/01/11,1.05,11.418M,2.2167,15.9229,1283.35,7.05,4.565
14/01/11,1.06,11.505M,2.2359,16.0432,1293.24,6.13,4.5301
07/01/11,1.08,11.306M,2.1985,15.7744,1271.5,8.97,4.4846
31/12/10,1.09,11.186M,2.1767,15.6164,1257.64,10.84,4.3341
24/12/10,1.08,11.178M,2.204,16.2531,1256.77,13.44,4.4698
17/12/10,1.1,11.029M,2.1765,16.0355,1243.91,13.73,4.4367
10/12/10,1.06,10.994M,2.1707,15.9928,1240.4,14.77,4.4289
03/12/10,1.05,10.842M,2.1471,15.7957,1224.71,14.72,4.3143
26/11/10,1.05,10.531M,2.0874,15.3685,1189.4,14.06,4.2093
19/11/10,1.05,10.622M,2.1056,15.502,1199.73,12.57,4.2444
12/11/10,1.05,10.606M,2.1055,15.4902,1199.21,12.16,4.2844
05/11/10,1.04,10.836M,2.1536,15.8359,1225.85,11.38,4.1192
29/10/10,1.03,10.465M,2.0805,15.3444,1183.26,12.35,3.9828
22/10/10,1.05,10.471M,2.0812,15.351,1183.08,12.99,3.9293
15/10/10,1.04,10.412M,2.0691,15.2615,1176.19,12.54,3.9791
08/10/10,1.03,10.31M,2.052,15.118,1165.15,16.09,3.7489
01/10/10,1.06,10.15M,2.0237,14.8738,1146.24,16.55,3.7147
24/09/10,1.11,10.166M,2.1059,15.8044,1148.67,17.6,3.794
17/09/10,1.14,9.963M,2.0679,15.4401,1125.59,18.36,3.9033
10/09/10,1.16,9.819M,2.0378,15.22,1109.55,19.37,3.8687
03/09/10,1.2,9.778M,2.0289,15.1617,1104.51,19,3.7811
27/08/10,1.2,9.416M,1.9565,14.6466,1064.59,18.16,3.6896
20/08/10,1.16,9.455M,1.9702,14.7495,1071.69,19.52,3.6601
13/08/10,1.18,9.524M,1.9844,14.8494,1079.25,20.83,3.8538
06/08/10,1.13,9.894M,2.062,15.43,1121.64,21.37,3.994
30/07/10,1.18,9.725M,2.0267,15.214,1101.6,21.55,3.9881
23/07/10,1.27,9.765M,2.0293,15.2323,1102.66,22.31,4.0142
16/07/10,1.33,9.443M,1.96,14.7199,1064.88,22.96,3.9379
09/07/10,1.36,9.546M,1.9895,14.9273,1077.96,25.34,4.0361
02/07/10,1.37,9.062M,1.8867,14.1944,1022.58,25.37,3.9425
25/06/10,1.38,9.534M,2.0054,16.3891,1076.77,27.03,4.0625
18/06/10,1.39,9.897M,2.0828,16.98,1117.51,30.38,4.1439
11/06/10,1.33,9.671M,2.034,16.588,1091.6,32.35,4.1493
04/06/10,1.25,9.435M,1.9877,16.1166,1064.88,31.6,4.1299
28/05/10,1.19,9.655M,2.0342,16.5446,1089.41,28.9,4.2088
21/05/10,1.13,9.635M,2.0316,16.5151,1087.69,27.24,4.0991
14/05/10,1.05,10.053M,2.1212,17.2433,1135.68,24.19,4.3357
07/05/10,0.98,9.823M,2.0748,16.8749,1110.89,19,4.2749
30/04/10,0.94,10.491M,2.2181,18.0949,1186.69,13.44,4.5172
23/04/10,0.95,10.769M,2.2785,18.5976,1217.28,9.17,4.6597
16/04/10,0.98,10.545M,2.2314,18.2145,1192.13,8.84,4.6705
09/04/10,1,10.561M,2.2356,18.2502,1194.37,7.63,4.7397
02/04/10,0.99,10.41M,2.21,18.0469,1178.1,8.66,4.806
26/03/10,0.98,10.313M,2.226,19.9406,1166.59,9.59,4.7457
19/03/10,1,10.251M,2.2172,19.7958,1159.9,10.63,4.5794
12/03/10,1.02,10.147M,2.1985,19.6299,1149.99,15.49,4.6248
05/03/10,1.02,10.038M,2.1772,19.4349,1138.7,16.54,4.6423
26/02/10,1.02,9.728M,2.1147,18.8996,1104.49,19.02,4.5566
19/02/10,1.01,9.752M,2.1236,18.9785,1109.17,18.89,4.7031
12/02/10,1,9.45M,2.0751,18.3582,1075.51,18.59,4.6463
05/02/10,0.96,9.366M,2.0576,18.1972,1066.19,17.93,4.5186
29/01/10,0.95,9.434M,2.076,18.413,1073.87,14.95,4.4884
22/01/10,0.94,9.594M,2.114,18.7738,1091.76,14.52,4.5312
15/01/10,1.01,10.00M,2.1998,19.5357,1136.03,10.79,4.5814
08/01/10,1.04,10.079M,2.2171,19.6894,1144.98,11.82,4.715
01/01/10,1.07,9.818M,2.1607,19.2747,1115.1,12.36,4.6281
25/12/09,1.09,9.929M,2.2346,26.5824,1126.48,12.7,4.6834
18/12/09,1.07,9.655M,2.1936,24.4027,1102.47,14.33,4.4575
11/12/09,1.12,9.652M,2.2015,24.4908,1106.41,14.47,4.5009
04/12/09,1.18,9.654M,2.2114,24.5502,1105.98,19.41,4.3947
27/11/09,1.17,9.504M,2.1847,24.2618,1091.49,19.95,4.1998
20/11/09,1.11,9.485M,2.185,24.2113,1091.38,19.67,4.2948
13/11/09,1.11,9.496M,2.1866,24.2615,1093.48,19.24,4.3516
06/11/09,1.12,9.287M,2.1381,23.7168,1069.3,20.12,4.3974
30/10/09,1.12,9.012M,2.0742,23.0457,1036.2,20.45,4.2253
23/10/09,1.14,9.388M,2.1626,23.9684,1079.6,16.47,4.2923
16/10/09,1.17,9.431M,2.1796,24.1254,1087.68,15.57,4.2443
09/10/09,1.16,9.344M,2.1512,23.7547,1071.49,17.02,4.2229
02/10/09,1.14,8.941M,2.0589,22.5281,1025.21,15.82,3.9962
25/09/09,1.13,9.106M,2.1228,22.2134,1044.38,16.2,4.09
